Cycle No,Step name,Step No,Start,End,Current_min,Current_max,Capacity_min,Capacity_max,Volt_min,Volt_max,power_max_mW,power_min_mW,Duration_s,c_rate
1,CC_Chg,2,2025-11-27 17:03:24.408,2025-11-27 17:09:35.312,52.264988,52.269396,0.0,5.384,2.805416,3.206002,167.57550919300002,146.625033575,371.0,0.348
1,CC_Chg,4,2025-11-27 17:10:35.244,2025-11-27 17:11:05.183,74.99503,74.999281,0.0,0.626,3.148055,3.243031,243.224668958,236.088479167,30.0,0.5
1,CC_Chg,5,2025-11-27 17:11:05.217,2025-11-27 17:12:28.926,52.269226,52.274945,0.0,1.204,3.224881,3.255001,170.136750714,168.564004214,84.0,0.348
1,CC_Chg,7,2025-11-27 17:13:28.836,2025-11-27 17:13:58.759,74.994913,74.999284,0.0,0.626,3.223102,3.28715,246.53385038,241.71672143,30.0,0.5
1,CC_Chg,8,2025-11-27 17:13:58.790,2025-11-27 17:15:11.578,52.269002,52.275009,0.0,1.059,3.269028,3.285,171.704765475,170.870085526,73.0,0.349
1,CC_Chg,10,2025-11-27 17:16:11.536,2025-11-27 17:16:41.451,74.994911,74.999323,0.0,0.625,3.272926,3.308239,248.115268484,245.45279408,30.0,0.5
1,CC_Chg,11,2025-11-27 17:16:41.474,2025-11-27 17:16:41.474,52.275007,52.275007,0.0,0.0,3.296026,3.296026,172.299782222,172.299782222,0.0,0.349
1,CC_Chg,13,2025-11-27 17:17:41.363,2025-11-27 17:18:11.307,74.995002,74.999321,0.0,0.625,3.257248,3.309709,248.22587144300002,244.277320274,30.0,0.5
1,CC_Chg,14,2025-11-27 17:18:11.327,2025-11-27 17:18:11.327,52.275068,52.275068,0.0,0.0,3.301324,3.301324,172.57693659,172.57693659,0.0,0.349
1,CC_Chg,16,2025-11-27 17:19:12.200,2025-11-27 17:19:42.049,74.995018,74.999578,0.0,0.626,3.248727,3.310429,248.27982128500003,243.638339842,30.0,0.5
1,CC_Chg,17,2025-11-27 17:19:42.079,2025-11-27 17:30:53.815,52.269061,52.274947,0.0,9.756,3.291248,3.312,173.11587523199998,172.031435654,672.0,0.348
1,CC_Chg,19,2025-11-27 17:31:53.477,2025-11-27 17:32:23.418,74.995089,74.999603,0.0,0.625,3.288286,3.331589,249.86697282,246.60530122699998,30.0,0.5
1,CC_Chg,20,2025-11-27 17:32:23.434,2025-11-27 17:39:19.148,52.269227,52.274933,0.0,6.036,3.31333,3.336,174.370691712,173.185615375,416.0,0.348
1,CC_Chg,22,2025-11-27 17:40:20.051,2025-11-27 17:40:49.954,74.99505,74.999376,0.0,0.625,3.297099,3.355759,251.679418248,247.26610435999999,30.0,0.5
1,CC_Chg,23,2025-11-27 17:40:49.981,2025-11-27 17:40:49.981,52.275068,52.275068,0.0,0.0,3.346609,3.346609,174.944213044,174.944213044,0.0,0.349
